Title,Date,Views,Likes,Comments,Video_ID,Category,Extracted: ,LTV,CTL,Diff
100 Days Building A Modern Underground Hut With A Grass Roof And A Swimming Pool,2022-05-05T12:14:45Z,1362932531,7220977,125239,tYf0BoFe9D8,PeopleBlogs,,0.5298117725,1.734377495,1144
TE ENSEÑO A HACER PAN PITA! #shorts,2022-05-04T23:00:16Z,1456266,120891,577,o0Han4c3gcQ,PeopleBlogs,,8.301436688,0.4772894591,1145
How To Remove Unwanted Grass Using A Sod Cutter ✂️✂️✂️,2022-05-02T19:54:12Z,275512,2073,48,Z-P5KwMarYQ,PeopleBlogs,,0.7524173176,2.315484805,1147
When You Realize You're A Vegan #Shorts,2022-05-02T12:00:03Z,8396440,474537,2659,843olPwdOKw,PeopleBlogs,,5.651645221,0.5603356535,1147
5 Reasons NOT to buy a live aboard sailing boat  - (Watch before you buy!),2022-05-01T16:53:07Z,759161,12778,863,02cbrDyE5Ko,PeopleBlogs,,1.683173925,6.753795586,1148
Three of The Biggest Shark Fights In The Tank | Shark Tank US | Shark Tank Global,2022-05-01T15:59:48Z,13016743,147787,6863,IeEQZNeyWKg,PeopleBlogs,,1.13536082,4.643845534,1148
The Sharks Are Moved To Tears With Kronos Owner's Dilemma | Shark Tank US | Shark Tank Global,2022-04-30T15:59:50Z,6465045,95854,3813,aF6V9Yy6MY4,PeopleBlogs,,1.482650159,3.977924761,1149
99.9% Of The NBA Will NEVER Accomplish This 💪,2022-04-29T15:55:54Z,1480437,90959,1463,pbhsT-bd8kE,PeopleBlogs,,6.144064219,1.608416979,1150
3 Steps For A Perfect Makeup Base 👍,2022-04-29T15:30:05Z,6115682,190428,385,iChDOaMSnkc,PeopleBlogs,,3.113765562,0.2021761506,1150
a khuda tu bolde tere baadlo ko,2022-04-29T09:10:08Z,1463,30,0,FWoU9Vh9zKE,PeopleBlogs,,2.050580998,0,1150
hamra la kular || lage la grmiya bhojpuri status || a raja ho hamra la kular lagwayi deta ho,2022-04-29T05:13:00Z,223729,5800,80,l3sB1mjItjk,PeopleBlogs,,2.592422082,1.379310345,1150
Quadriplegic Gives Wife a Standing Hug | Cole & Charisma,2022-04-27T22:30:01Z,2924340,173749,2170,1tNw2QFF2QM,PeopleBlogs,,5.941477393,1.248928051,1152
