Title,Date,Views,Likes,Comments,Video_ID,Category,Extracted: ,LTV,CTL,Diff
दिलबर दिलबर#trending #dance #playbacksinger #song,2025-05-06T11:30:41Z,362,2,0,mKtFWa_-Ga4,NonprofitsActivism,,0.5524861878,0,43
Amanecer con Jesús - 21 de Junio :  Manos a la obra,2025-05-05T19:06:38Z,0,1,0,KTpYu03kHDI,NonprofitsActivism,,#DIV/0!,0,44
gaon ki gori Ho Munh dhakna Padega#trending #song #dance #,2025-05-04T11:39:01Z,1032,7,0,O-80QqbAuxc,NonprofitsActivism,,0.6782945736,0,45
TV Globo | Chamada da Programação de Sexta a Noite na Globo (12/12/2014),2025-05-01T19:28:35Z,0,1,0,-Ze0b4GJ5bs,NonprofitsActivism,,#DIV/0!,0,48
Tu Katil Tera Dil Katil #hindisong #bollywood #bollywoodsongs #song,2025-05-01T06:30:07Z,1144,15,0,GXwx-KfbEwI,NonprofitsActivism,,1.311188811,0,48
The REAL Reason the 'Antichrist' Wears a Black Beanie (You'll Never Guess),2025-04-30T19:15:54Z,254899,6091,3713,iBzWGUZbekY,NonprofitsActivism,,2.38957391,60.95879166,49
Tu Mard Nahin matha ke dard #bhojpuri #song #bhojpurisong,2025-04-30T18:30:15Z,67,3,0,7r6bd519UEk,NonprofitsActivism,,4.47761194,0,49
Main Teri Garam Jalebi #dance #bollywood #hindisong,2025-04-30T06:30:19Z,851,7,0,lacajjR4BlY,NonprofitsActivism,,0.8225616921,0,49
Tu Katil Tera Dil Katil #hindisong #bollywoodsongs #song #trending,2025-04-29T18:30:38Z,1668,10,0,Qi0ruMbi6B8,NonprofitsActivism,,0.5995203837,0,50
हीरा बेटे papanew song #dance #bhojpuri #trending #viral#viralshorts,2025-04-29T12:30:49Z,366,4,N/A,ePfJeGEy7KM,NonprofitsActivism,,1.092896175,#VALUE!,50
The Girl Built Her Own Bathroom and Kitchen on the Top of the Hill,2025-04-29T03:21:05Z,69514,282,0,66DRgTysLzI,NonprofitsActivism,,0.4056736772,0,50
love your Moto #song #trending #dance #lovesong,2025-04-28T13:36:00Z,1669,10,0,IFBunURkqqs,NonprofitsActivism,,0.5991611744,0,51
Bhojpuri new song #bhojpuri #song #dance #trending,2025-04-28T06:45:02Z,783,7,0,SzQdV9Plqkk,NonprofitsActivism,,0.8939974457,0,51
A Call to Rebuild: Nehemiah series,2025-04-27T15:54:19Z,0,0,0,CnNkPwi8gEY,NonprofitsActivism,,#DIV/0!,#DIV/0!,52
Lupta Ludmilei împrumută pâine pentru a supraviețui !!!,2025-04-26T18:22:30Z,0,1,0,uhCFOPvkZVM,NonprofitsActivism,,#DIV/0!,0,53
EP #18 ~ Magnho: a voz pelos jogos e cassinos no Brasil,2025-04-23T18:40:33Z,97,6,0,P7w288khe2U,NonprofitsActivism,,6.18556701,0,56
Police என்று சொல்லி என்னை மிரட்டிய John Jebaraj ரசிகர் | ஜான் ஜெபராஜ் | Keba A,2025-04-19T03:04:47Z,N/A,382,279,lNE4pqZPzpY,NonprofitsActivism,,#VALUE!,73.03664921,60
"butler begleitet vom ersten Fall an,  Schritt für Schritt #berufsbetreuer #digitalisierung #dms",2025-04-18T08:00:10Z,1593,8,0,9RogKTXb8IA,NonprofitsActivism,,0.5021971124,0,61
"♬ A Lua Brilha, Brilha, Brilha, Eu Sei Que Sou Sua Filha ♬",2025-04-17T08:37:54Z,629,3,0,HPj1wiMYnQo,NonprofitsActivism,,0.4769475358,0,62
4월에는 무조건 먹어야 하는 봄나물 TOP3! #건강식 #영양식 #이슈,2025-04-15T21:00:24Z,16979,226,4,EWnWwLrJJOI,NonprofitsActivism,,1.33105601,1.769911504,64
E Pensar que tantas vezes o novo é dar uma chance a antigas paixões,2025-04-14T15:43:07Z,53,1,0,jxDeyQMhL4k,NonprofitsActivism,,1.886792453,0,65
MT SAINTES A VELO,2025-04-14T12:14:47Z,407,8,0,5trYfnoVWjk,NonprofitsActivism,,1.965601966,0,65
"Olá a Todos A Origem da Frase do Meu Avatar ""Final Boss""",2025-04-12T08:34:36Z,69,1,2,hnJ4TEs0TCs,NonprofitsActivism,,1.449275362,200,67
