Title,Date,Views,Likes,Comments,Video_ID,Category,Extracted: ,LTV,CTL,Diff
Partie 1 | Quand ton fils a énervé TA FEMME 😡 @ethan.pn #short #animation #humour #drole #sketch,2025-04-10T15:49:14Z,4827772,112736,482,qRBiY9gL2RM,Comedy,,2.335155844,0.4275475447,73
still a buck🤣 #basketball #goviral #sports #trending #shortsviral #like #funny #ballislife #tiktok,2025-04-10T15:28:04Z,31917,327,4,mT8cP5jO2zw,Comedy,,1.024532381,1.22324159,73
Aisha Takes Control! | Scenes From a Hat | Whose Line Is It Anyway?,2025-04-10T01:00:05Z,614838,8195,214,4CHaFtexJfU,Comedy,,1.332871423,2.611348383,73
Mr. Singh and the Sassy Sardarnis - I'd Rather Kiss a Cow Than Call You a Gal,2025-04-08T16:00:10Z,4727,25,6,49DXmkIBHjg,Comedy,,0.528876666,24,75
THE TRAP 🤣🤣 ( A Hunter Who Went To Hunt Gets Hunted 😰😰 )!!,2025-04-08T11:00:07Z,458053,2529,132,eV9YURApXI8,Comedy,,0.5521195146,5.21945433,75
Sohan m’a remplacer … 💔,2025-04-04T16:25:37Z,1470281,37766,506,OpxLddC-jUY,Comedy,,2.568624637,1.339829476,79
Spell DUBAI In A Different Way *Philadelphia Pennsylvania*,2025-04-03T23:00:20Z,64,2,0,OmTW3IKevDk,Comedy,,3.125,0,80
KDM MEETS ELEMENTARY SCHOOL FRIENDS Kang Dedi Mulyadi Immediately Takes a Line-Up Test!,2025-04-03T01:00:28Z,10682,61,N/A,ODy4pKRBy88,Comedy,,0.5710541097,#VALUE!,80
TOFU TRADERS want to meet Kang Dedi Mulyadi! A touching moment that will make you cry!,2025-04-02T08:00:28Z,26750,852,N/A,XPiqdRBiouE,Comedy,,3.185046729,#VALUE!,81
Mr. Singh and the Sassy Sardarnis - WEF's Lil' Pet,2025-04-01T14:13:36Z,34,3,0,zXm4jyEBQjs,Comedy,,8.823529412,0,82
A Slip In The Dark!,2025-03-31T16:00:01Z,786,48,4,0VTQprDoOL4,Comedy,,6.106870229,8.333333333,83
Can You Spell Dubai … In A Different Way? #explore #shorts #qanda,2025-03-30T18:00:19Z,1013,9,0,YpO1sijkmSs,Comedy,,0.8884501481,0,84
met a millionaire #trending #interview #reaction #tv #goviral #like #fashion #texas #clothing #brand,2025-03-28T14:00:17Z,473,10,3,FGh9cMWuZOc,Comedy,,2.114164905,30,86
The Renegger (It's a euchre thing),2025-03-28T13:00:21Z,1166,107,2,F1-JEROxcFc,Comedy,,9.176672384,1.869158879,86
MISCOMPLETE: Husband Misunderstands: A Nighttime Drama That Will Make You Laugh!,2025-03-26T01:00:42Z,11473,104,N/A,qocM6YbuYQU,Comedy,,0.9064760743,#VALUE!,88
